phase,hip_q,knee_q,ankle_q,toe_x,toe_y
0.0,0.4,0.2,0.0,0.5920538882473323,0.0
0.01,0.38333333333333336,0.21675000000000003,-0.036333333333333336,0.5640399812225052,0.0
0.02,0.36666666666666664,0.23349999999999999,-0.07266666666666667,0.5355406765311196,0.0
0.03,0.35000000000000003,0.25025000000000003,-0.109,0.5065798743159617,0.0
0.04,0.33333333333333337,0.267,-0.14533333333333334,0.4771820030582187,0.0
0.05,0.31666666666666665,0.28375,-0.18166666666666667,0.4473719943297081,0.0
0.06,0.30000000000000004,0.3005,-0.218,0.41717525691215407,0.0
0.07,0.2833333333333333,0.31725000000000003,-0.25433333333333336,0.38661765031217077,0.0
0.08,0.26666666666666666,0.334,-0.2906666666666667,0.35572545770140473,0.0
0.09,0.25,0.35075,-0.327,0.32452535831202944,0.0
0.1,0.23333333333333334,0.36750000000000005,-0.36333333333333334,0.293044399318506,0.0
0.11,0.21666666666666665,0.38425000000000004,-0.39966666666666667,0.2613099672371997,0.0
0.12,0.2,0.401,-0.436,0.2293497588760875,0.0
0.13,0.18888888888888888,0.40872222222222226,-0.45444444444444443,0.21042387775229787,0.0
0.14,0.17777777777777778,0.4164444444444445,-0.47288888888888897,0.19145326400667262,0.0
0.15,0.16666666666666669,0.4241666666666667,-0.49133333333333334,0.1724430602838911,0.0
0.16,0.15555555555555556,0.43188888888888893,-0.5097777777777778,0.1533984191007951,0.0
0.17,0.14444444444444443,0.4396111111111112,-0.5282222222222223,0.1343245012216553,0.0
0.18,0.13333333333333336,0.44733333333333336,-0.5466666666666666,0.11522647403122897,0.0
0.19,0.12222222222222222,0.4550555555555556,-0.5651111111111111,0.09610950990615894,0.0
0.2,0.1111111111111111,0.46277777777777784,-0.5835555555555556,0.07697878458526461,0.0
0.21,0.1,0.47050000000000003,-0.602,0.05783947553927374,0.0
0.22,0.08888888888888889,0.47822222222222227,-0.6204444444444445,0.03869676034054656,0.0
0.23,0.07777777777777778,0.4859444444444445,-0.638888888888889,0.019555815033342472,0.0
0.24,0.06666666666666668,0.4936666666666667,-0.6573333333333333,0.0004218125051782817,0.0
0.25,0.05555555555555554,0.5013888888888889,-0.6757777777777778,-0.018700079140171855,0.0
0.26,0.044444444444444425,0.5091111111111112,-0.6942222222222223,-0.03780469820748647,0.0
